url,status,reason,pos,neg,margin,blur
x-raw-image:///e9ab0f5358803a0ccc3c5dda7b077380d907e7dd242877f4ce19bbf20eed961d,error,download: No connection adapters were found for 'x-raw-image:///e9ab0f5358803a0ccc3c5dda7b077380d907e7dd242877f4ce19bbf20eed961d',,,,
x-raw-image:///ec8b8d978ce5f91018b06245b493a809125e0fd04ea51fbb438362a481402c1d,error,download: No connection adapters were found for 'x-raw-image:///ec8b8d978ce5f91018b06245b493a809125e0fd04ea51fbb438362a481402c1d',,,,
x-raw-image:///818f249b9b01abce400025d1839221b0b9ca905be11eaf3be1f24fef15fde4c0,error,download: No connection adapters were found for 'x-raw-image:///818f249b9b01abce400025d1839221b0b9ca905be11eaf3be1f24fef15fde4c0',,,,
x-raw-image:///7fcf7d55adf1cd0cdaaa85d36a5d89950f72906e1febd79af7f248da32d353e0,error,download: No connection adapters were found for 'x-raw-image:///7fcf7d55adf1cd0cdaaa85d36a5d89950f72906e1febd79af7f248da32d353e0',,,,
x-raw-image:///9176309251003f3800990a3366b268ab51f037e162dbb11234d5b09a12a4a3c7,error,download: No connection adapters were found for 'x-raw-image:///9176309251003f3800990a3366b268ab51f037e162dbb11234d5b09a12a4a3c7',,,,
x-raw-image:///6d31684db0e1ead45923c37392c8bfdd783eb507ec16f49c32244feecf83942d,error,download: No connection adapters were found for 'x-raw-image:///6d31684db0e1ead45923c37392c8bfdd783eb507ec16f49c32244feecf83942d',,,,
x-raw-image:///85e7d09d5484929d3e52aa4c1d4d622bd0bdead32df7b95e7fd78cfe201dcd22,error,download: No connection adapters were found for 'x-raw-image:///85e7d09d5484929d3e52aa4c1d4d622bd0bdead32df7b95e7fd78cfe201dcd22',,,,
x-raw-image:///e1ad898987169b090153b1f2fded49a1b434ca9a859f52e71d770ccfa164f96e,error,download: No connection adapters were found for 'x-raw-image:///e1ad898987169b090153b1f2fded49a1b434ca9a859f52e71d770ccfa164f96e',,,,
x-raw-image:///a5746e43de9f94ad2c034b458d3636bf971407b08eaf42145d92ef4b5c9c7d1d,error,download: No connection adapters were found for 'x-raw-image:///a5746e43de9f94ad2c034b458d3636bf971407b08eaf42145d92ef4b5c9c7d1d',,,,
x-raw-image:///afcd73f8a9066b0da27c5c7cc241855c00c7e202420fd46895b4b530f974d9cb,error,download: No connection adapters were found for 'x-raw-image:///afcd73f8a9066b0da27c5c7cc241855c00c7e202420fd46895b4b530f974d9cb',,,,
x-raw-image:///9cebaf45629e5acf1ef4a0eb657b20a1835bbc5fac7c2d472e9abeaae4faab5c,error,download: No connection adapters were found for 'x-raw-image:///9cebaf45629e5acf1ef4a0eb657b20a1835bbc5fac7c2d472e9abeaae4faab5c',,,,
x-raw-image:///8192f3d70abfed4f3b881e705a653edabe8dbab28895710233f7c691da95ff60,error,download: No connection adapters were found for 'x-raw-image:///8192f3d70abfed4f3b881e705a653edabe8dbab28895710233f7c691da95ff60',,,,
x-raw-image:///1ccd2f9bb6e3167b096145c39dfe4166bf05cfe48dc71c3fdb4895a3be042db1,error,download: No connection adapters were found for 'x-raw-image:///1ccd2f9bb6e3167b096145c39dfe4166bf05cfe48dc71c3fdb4895a3be042db1',,,,
x-raw-image:///7b0fb145f71803db27af4c6d1469038f38edb0a83adf5b2bc1301055d7d7a686,error,download: No connection adapters were found for 'x-raw-image:///7b0fb145f71803db27af4c6d1469038f38edb0a83adf5b2bc1301055d7d7a686',,,,
x-raw-image:///a43bcd8d47a15584393cdf2deaa23d500229887db9c7672689daf0dd29f258e8,error,download: No connection adapters were found for 'x-raw-image:///a43bcd8d47a15584393cdf2deaa23d500229887db9c7672689daf0dd29f258e8',,,,
x-raw-image:///9f0ca34d76f86764151acaa1d123f45f0c4561d5aa5da4789d3087134808b567,error,download: No connection adapters were found for 'x-raw-image:///9f0ca34d76f86764151acaa1d123f45f0c4561d5aa5da4789d3087134808b567',,,,
x-raw-image:///67d845fcd7092191658e85fb1b8e28d22dde097d7c533f7a7d9b5f3e0114f893,error,download: No connection adapters were found for 'x-raw-image:///67d845fcd7092191658e85fb1b8e28d22dde097d7c533f7a7d9b5f3e0114f893',,,,
x-raw-image:///dc65acb04878b23f5398295908e6925c462d00c0fb67fa7879d6c9079494baa4,error,download: No connection adapters were found for 'x-raw-image:///dc65acb04878b23f5398295908e6925c462d00c0fb67fa7879d6c9079494baa4',,,,
x-raw-image:///1411a9702eee7976225bd32e2f81275a509e392a283f55cf21ac41594e0bc620,error,download: No connection adapters were found for 'x-raw-image:///1411a9702eee7976225bd32e2f81275a509e392a283f55cf21ac41594e0bc620',,,,
x-raw-image:///8d704a3f407157c4160f347c1677f62511744d8e245be5097449fe7b19557883,error,download: No connection adapters were found for 'x-raw-image:///8d704a3f407157c4160f347c1677f62511744d8e245be5097449fe7b19557883',,,,
x-raw-image:///b03a76da932bdb08f4a1f66233f51c3053ba82e13858b4b04c14f0d3aaf94964,error,download: No connection adapters were found for 'x-raw-image:///b03a76da932bdb08f4a1f66233f51c3053ba82e13858b4b04c14f0d3aaf94964',,,,
https://timekocaeli.com/uploads/kalici-makyajin-iddiali-ismi-sule-koseoglu-beauty-studio-1-yilini-kutladi-6137866921733.jpg,rejected,clip_threshold,0.20880070328712463,0.1983446329832077,0.010456070303916931,609.9696587867631
x-raw-image:///e3264d7362224cfeb71514b2c97debffd3fc90909d539c0796f3aa580a7fe52b,error,download: No connection adapters were found for 'x-raw-image:///e3264d7362224cfeb71514b2c97debffd3fc90909d539c0796f3aa580a7fe52b',,,,
x-raw-image:///22352f0c3b3857b2407aa72d696f77156559d9b2c2f210547d42272b200bf988,error,download: No connection adapters were found for 'x-raw-image:///22352f0c3b3857b2407aa72d696f77156559d9b2c2f210547d42272b200bf988',,,,
x-raw-image:///e64cb6957cf5d85fd3e8ba818c4b735cedaab29a2e4e43c1bcae04bd425e9f43,error,download: No connection adapters were found for 'x-raw-image:///e64cb6957cf5d85fd3e8ba818c4b735cedaab29a2e4e43c1bcae04bd425e9f43',,,,
x-raw-image:///0ceadcf4e509ad4eab059b568d3f05148ba91e1f0a8006f63da904ad09a493ec,error,download: No connection adapters were found for 'x-raw-image:///0ceadcf4e509ad4eab059b568d3f05148ba91e1f0a8006f63da904ad09a493ec',,,,
x-raw-image:///38a3052bbc39345abecab7bf6b36bfe2d606ec9456affb418978c40f3bc3c3d4,error,download: No connection adapters were found for 'x-raw-image:///38a3052bbc39345abecab7bf6b36bfe2d606ec9456affb418978c40f3bc3c3d4',,,,
x-raw-image:///d3512b764a00a8565903a469c9cb2f1a8470747ec002cebba0feafd76d1baf35,error,download: No connection adapters were found for 'x-raw-image:///d3512b764a00a8565903a469c9cb2f1a8470747ec002cebba0feafd76d1baf35',,,,
x-raw-image:///e0922c7bbd4e04f9327e98a6dd49dbb9ee29655597a868775b5c1fbf13118bd1,error,download: No connection adapters were found for 'x-raw-image:///e0922c7bbd4e04f9327e98a6dd49dbb9ee29655597a868775b5c1fbf13118bd1',,,,
x-raw-image:///fc25ed7fca2378d41b114948c18e7b1b856bef5db2b1d2d30aa0dae7ff90b3b5,error,download: No connection adapters were found for 'x-raw-image:///fc25ed7fca2378d41b114948c18e7b1b856bef5db2b1d2d30aa0dae7ff90b3b5',,,,
x-raw-image:///8d8178d94955e603d6274ff2c81acac510809f1dcaa72112ca54859ef2464f87,error,download: No connection adapters were found for 'x-raw-image:///8d8178d94955e603d6274ff2c81acac510809f1dcaa72112ca54859ef2464f87',,,,
x-raw-image:///60b1a17cf20adc199770aa297850fb0408b7d35fe7df044b7e9308e62148bf3b,error,download: No connection adapters were found for 'x-raw-image:///60b1a17cf20adc199770aa297850fb0408b7d35fe7df044b7e9308e62148bf3b',,,,
x-raw-image:///9f248df6afa5275ff617abf35494ced095f1495e4ed9bf180414d0e3487e259d,error,download: No connection adapters were found for 'x-raw-image:///9f248df6afa5275ff617abf35494ced095f1495e4ed9bf180414d0e3487e259d',,,,
https://0.academia-photos.com/attachment_thumbnails/55660453/mini_magick20190114-12327-7b8fuw.png?1547464818,rejected,too_small 496x709,,,,
x-raw-image:///56301396b0994bcb33dfa8af1961b1fd744b3945e424049a3753d3f2b3ed2c98,error,download: No connection adapters were found for 'x-raw-image:///56301396b0994bcb33dfa8af1961b1fd744b3945e424049a3753d3f2b3ed2c98',,,,
x-raw-image:///7b49221c55108790cca32243a4f02b521bfd110d8c1c371938a5d66037880c29,error,download: No connection adapters were found for 'x-raw-image:///7b49221c55108790cca32243a4f02b521bfd110d8c1c371938a5d66037880c29',,,,
x-raw-image:///fc1da02aa4c39142b85d2565ab8404d591c26add3e8b2405bd23301fd5ad3c9f,error,download: No connection adapters were found for 'x-raw-image:///fc1da02aa4c39142b85d2565ab8404d591c26add3e8b2405bd23301fd5ad3c9f',,,,
x-raw-image:///b2f7a834d475ecada7c53ca8a902f0fc2bdb8a647ea53a6811d5316d40644a07,error,download: No connection adapters were found for 'x-raw-image:///b2f7a834d475ecada7c53ca8a902f0fc2bdb8a647ea53a6811d5316d40644a07',,,,
https://cdn.whatclinic.com//clinics/thumbnails/stockpictures/d9a456be3b287fb8/49.jpg?width=400&height=400&background-color=0xeeede8&operation=pad&float-y=0.25&hmac=7de33223086e2c4265d75a792ffdd50f6133fc55,rejected,too_small 400x400,,,,
https://www.nobelyayin.com/nblyyn/nobelyayin_com_22023.jpg,rejected,clip_threshold,0.19331438839435577,0.17176897823810577,0.02154541015625,777.8634495623337
https://imgv2-1-f.scribdassets.com/img/document/689411425/original/48ea12b903/1?v=1,rejected,clip_threshold,0.20615464448928833,0.19222575426101685,0.013928890228271484,2495.4854741259437
x-raw-image:///80e22213bc4af2bc42a7f2e65ab04ca64758b07be76128f01c2f9604ec46e0e8,error,download: No connection adapters were found for 'x-raw-image:///80e22213bc4af2bc42a7f2e65ab04ca64758b07be76128f01c2f9604ec46e0e8',,,,
https://www.timekocaeli.com/uploads/prof-dr-aydin-ustun-fayin-kiyisinda-yasamak-687b50fd10e5e.jpg,rejected,clip_threshold,0.2111615389585495,0.1574029177427292,0.05375862121582031,478.8266725665621
x-raw-image:///4bb62f180851bcc7dea509864fcdf356385d64d32d52bd8d65a973cd2deb0274,error,download: No connection adapters were found for 'x-raw-image:///4bb62f180851bcc7dea509864fcdf356385d64d32d52bd8d65a973cd2deb0274',,,,
x-raw-image:///ac3c12c980c2bf8e8eb6b7b19bff7e6cbd0118f554239cea23b17cfd2700396a,error,download: No connection adapters were found for 'x-raw-image:///ac3c12c980c2bf8e8eb6b7b19bff7e6cbd0118f554239cea23b17cfd2700396a',,,,
x-raw-image:///ca5421367cebe663d3dc61de345b0e2acbb343f676b33a0375b7609f2d2553ec,error,download: No connection adapters were found for 'x-raw-image:///ca5421367cebe663d3dc61de345b0e2acbb343f676b33a0375b7609f2d2553ec',,,,
x-raw-image:///31c97f648548a6cf1fe22e498e98d545cd2083b6b6998d72f7589a600d07ebeb,error,download: No connection adapters were found for 'x-raw-image:///31c97f648548a6cf1fe22e498e98d545cd2083b6b6998d72f7589a600d07ebeb',,,,
x-raw-image:///084c07ed4169319d19ad09c48d3b6cf062c1b7c53803f7d4b0de665824335f3f,error,download: No connection adapters were found for 'x-raw-image:///084c07ed4169319d19ad09c48d3b6cf062c1b7c53803f7d4b0de665824335f3f',,,,
