query,approved,rejected,errors,approved_dir,report
Adem Demiral klinik,0,209,187,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Adem_Demiral_klinik,output/report_Adem_Demiral_klinik.csv
Abdul Muttalip Keser klinik,0,215,170,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Abdul_Muttalip_Keser_klinik,output/report_Abdul_Muttalip_Keser_klinik.csv
Akl Clinic klinik,3,133,55,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Akl_Clinic_klinik,output/report_Akl_Clinic_klinik.csv
Adem And Havva klinik,3,21,1,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Adem_And_Havva_klinik,output/report_Adem_And_Havva_klinik.csv
Adem Köse klinik,1,405,77,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Adem_Köse_klinik,output/report_Adem_Köse_klinik.csv
Ali Yuva Hair Transplant Clinic klinik,3,38,64,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ali_Yuva_Hair_Transplant_Clinic_klinik,output/report_Ali_Yuva_Hair_Transplant_Clinic_klinik.csv
Ahmet Ayik Md. klinik,0,294,101,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ahmet_Ayik_Md_klinik,output/report_Ahmet_Ayik_Md_klinik.csv
Altınsoy Hair Clinic klinik,3,90,43,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Altınsoy_Hair_Clinic_klinik,output/report_Altınsoy_Hair_Clinic_klinik.csv
Aplus Hair Transplant klinik,3,2,1,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Aplus_Hair_Transplant_klinik,output/report_Aplus_Hair_Transplant_klinik.csv
Arşimed Hair Transplant klinik,3,54,38,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Arşimed_Hair_Transplant_klinik,output/report_Arşimed_Hair_Transplant_klinik.csv
Alaaddin Karabacak klinik,2,148,231,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Alaaddin_Karabacak_klinik,output/report_Alaaddin_Karabacak_klinik.csv
Astramedicagroup klinik,0,105,49,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Astramedicagroup_klinik,output/report_Astramedicagroup_klinik.csv
Atraxia Clinic klinik,3,45,30,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Atraxia_Clinic_klinik,output/report_Atraxia_Clinic_klinik.csv
Beautyeurasia klinik,3,35,13,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Beautyeurasia_klinik,output/report_Beautyeurasia_klinik.csv
Belizza Clinic klinik,3,8,23,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Belizza_Clinic_klinik,output/report_Belizza_Clinic_klinik.csv
Berkay Tulpar Clinic klinik,3,6,1,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Berkay_Tulpar_Clinic_klinik,output/report_Berkay_Tulpar_Clinic_klinik.csv
Aysel Ellialti klinik,0,84,253,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Aysel_Ellialti_klinik,output/report_Aysel_Ellialti_klinik.csv
Bekir Bek klinik,0,194,207,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Bekir_Bek_klinik,output/report_Bekir_Bek_klinik.csv
Bluemagic Group Clinic klinik,3,40,12,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Bluemagic_Group_Clinic_klinik,output/report_Bluemagic_Group_Clinic_klinik.csv
Büyük Anadolu Hospitals klinik,3,27,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Büyük_Anadolu_Hospitals_klinik,output/report_Büyük_Anadolu_Hospitals_klinik.csv
